Name,Bus,Fuel,Max_Cap,Min_Cap,Heat_Rate
YUBACITY_NG,201361,NG (Natural Gas),894.8,309.24,4.227248004555555
SACRAMENTO_NG,201361,NG (Natural Gas),367.3,112.77,2.977039650833333
MCCLELLAN_NG,201361,NG (Natural Gas),77.0,23.9,4.73352586
VACAVILLE_NG,201361,NG (Natural Gas),60.5,26.37,4.700582936
ROSEVILLE_NG,201361,NG (Natural Gas),164.01,45.03,4.7449828683333335
ELKGROVE_NG,201361,NG (Natural Gas),35.75,12.61,4.648478489
LODI_NG_11,201361,NG (Natural Gas),54.8,14.73,4.335917959
REDBLUFF_NG,201361,NG (Natural Gas),46.38000000000001,13.7,2.0962428775000004
ARLINGTON_NG,409941,NG (Natural Gas),3236.4900000000007,962.6200000000002,3.3211280914
JEAN_NG,302201,NG (Natural Gas),695.91,287.04,3.772309414
BOULDERCITY_NG,302201,NG (Natural Gas),536.01,152.18,4.880629314
LASVEGAS_NG_12,302201,NG (Natural Gas),1597.62,530.6600000000001,4.7556229860000006
POINTOFROCKS_C,701551,BIT (Bituminous Coal),2441.92,729.2900000000001,8.33962591575
GILBERT_NG,403691,NG (Natural Gas),1326.0,379.11,5.025952209500001
CASAGRANDE_NG,403691,NG (Natural Gas),646.11,164.04999999999998,5.0207692716666665
COCHISE_C,403691,BIT (Bituminous Coal),660.68,160.31,8.571841746142857
TUCSON_C,403691,BIT (Bituminous Coal),558.5,189.11,8.173080833833334
CHANDLER_NG,403691,NG (Natural Gas),1515.48,433.48,4.467244568733333
TUCSON_NG,403691,NG (Natural Gas),201.8,49.48,3.0955887151666666
LAKEHAVASUCITY_NG,400081,NG (Natural Gas),218.13,103.98,5.034548487
MOHAVEVALLEY_NG,400081,NG (Natural Gas),708.0,278.15,3.314390562
LAKEHAVASUCITY_NG_13,400061,NG (Natural Gas),436.26,113.36,4.9956666765
GOLDENVALLEY_NG,400061,NG (Natural Gas),121.0,32.129999999999995,4.343049815
DEMING_NG,800071,NG (Natural Gas),650.01,260.7,3.3543612106666667
LAMESA_NG,800071,NG (Natural Gas),287.0,100.16,4.875753681
SUNLANDPARK_NG,800071,NG (Natural Gas),372.49,89.5,4.76882827475
ELPASO_NG,800071,NG (Natural Gas),993.52,343.12,3.8312748403
LORDSBURG_NG,800071,NG (Natural Gas),274.0,79.44,3.693668282500001
HURLEY_NG,800071,NG (Natural Gas),54.0,15.06,4.6283466425
NOGALES_NG,800071,NG (Natural Gas),108.0,27.39,3.464986626
TYRONE_C,800071,BIT (Bituminous Coal),45.42,14.32,8.216283548666667
DOUGLAS_C,800071,BIT (Bituminous Coal),26.1,7.8,8.336509915
NEWPLYMOUTH_NG,134461,NG (Natural Gas),318.5,113.28,4.91064114
VICTORVILLE_NG,284011,NG (Natural Gas),872.0,314.97,3.9364097982000006
DESERTHOTSPRINGS_NG,284011,NG (Natural Gas),807.1800000000002,218.66,4.122906826428571
COLTON_NG,284011,NG (Natural Gas),150.1,51.04,3.540883570666667
ONTARIO_NG,284011,NG (Natural Gas),114.6,36.64,3.197729442
RANCHOCUCAMONGA_NG_14,284011,NG (Natural Gas),49.8,24.66,4.676462277
RIVERSIDE_NG,284011,NG (Natural Gas),236.0,88.33,2.309525441625
BORON_NG,284011,NG (Natural Gas),48.2,9.87,4.673755437
CORONA_NG,284011,NG (Natural Gas),96.0,22.33,3.081834884333334
TRONA_C,284011,BIT (Bituminous Coal),92.49,26.66,8.418172041000002
SUNVALLEY_NG,252891,NG (Natural Gas),690.5,169.24,3.68334160975
BURBANK_NG,252891,NG (Natural Gas),387.6,96.71,2.4918156635
LEBEC_NG,252891,NG (Natural Gas),779.0,285.99,4.901964121000001
LOSANGELES_NG,252891,NG (Natural Gas),170.79,63.87,3.3167206580000004
NORWALK_NG,252891,NG (Natural Gas),65.14999999999999,16.78,2.337893297
NEWHALL_NG,252891,NG (Natural Gas),161.10000000000002,55.3,3.122023387
PASADENA_NG,252891,NG (Natural Gas),89.3,34.980000000000004,5.129473378
GLENDALE_NG,252891,NG (Natural Gas),57.4,18.3,4.749769342
GILABEND_NG,409611,NG (Natural Gas),2475.96,865.71,4.138723558833334
LASVEGAS_NG_15,301721,NG (Natural Gas),1567.18,299.48,4.349205053111111
WHEATLAND_C,701721,BIT (Bituminous Coal),1710.0,414.31,8.264099757333334
GLENROCK_C,701721,BIT (Bituminous Coal),922.2,276.1,8.2685114685
BLYTHE_NG,400041,NG (Natural Gas),591.0,205.54,4.989980928666667
YUMA_NG,400041,NG (Natural Gas),487.6000000000001,142.39,2.849258675
HERALD_NG,230601,NG (Natural Gas),530.01,186.49,4.9477969753333335
LODI_NG_16,230601,NG (Natural Gas),103.9,12.12,4.791332263
TURLOCK_NG,230601,NG (Natural Gas),374.4,102.49,4.661461772166667
RIPON_NG,230601,NG (Natural Gas),170.5,47.7,3.0024511293333336
MODESTO_NG,230601,NG (Natural Gas),388.88,99.87,4.358452110111111
ELKGROVE_NG_17,230601,NG (Natural Gas),89.75,20.88,4.5138009625
MOUNTAINHOME_NG,741041,NG (Natural Gas),193.6,69.19,3.166500773333334
KLAMATHFALLS_NG,133661,NG (Natural Gas),619.1099999999999,165.11999999999998,2.652224064571429
RATHDRUM_NG,106771,NG (Natural Gas),467.9,125.37,5.13152821775
SPOKANE_NG,106771,NG (Natural Gas),87.8,39.02,2.3518742445
TEMPE_NG,403671,NG (Natural Gas),573.7,134.0,3.37788736
ELSEGUNDO_NG_18,254031,NG (Natural Gas),537.4,204.86,4.856735944
BOARDMAN_NG_19,134201,NG (Natural Gas),266.3,78.25,4.8546441865
GLENDALE_NG_20,401681,NG (Natural Gas),613.29,181.37,4.788500289166667
WRIGHT_C,700631,BIT (Bituminous Coal),483.7,106.38,8.208690511
GILLETTE_C,700631,BIT (Bituminous Coal),821.5,219.15,8.015033558833332
GILLETTE_NG,700631,NG (Natural Gas),107.5,32.540000000000006,4.8412852969
FIREBAUGH_NG,232301,NG (Natural Gas),250.2,86.38,4.5751637325
FRESNO_NG,232301,NG (Natural Gas),121.0,40.9,4.966247315
SANGER_NG,232301,NG (Natural Gas),97.7,31.930000000000003,3.3616287975
LEMOORE_NG,232301,NG (Natural Gas),98.0,23.5,4.674999097000001
DELANO_NG,232301,NG (Natural Gas),48.5,17.35,4.675263775
HANFORD_NG,232301,NG (Natural Gas),92.2,32.7,4.668822636
BAKERSFIELD_NG_21,232301,NG (Natural Gas),125.61,42.68,4.0545241535
COALINGA_NG,232301,NG (Natural Gas),38.4,15.82,4.652149321
SANJOAQUIN_NG_22,232301,NG (Natural Gas),82.59,25.26,4.629603543666666
CHOWCHILLA_NG,232301,NG (Natural Gas),49.61999999999999,13.43,0.6169154228333333
BAKERSFIELD_C,232301,BIT (Bituminous Coal),38.2,16.78,8.336509915
TEMPE_NG_23,402811,NG (Natural Gas),363.4,127.79,3.4924077137500005
CHANDLER_NG_24,402811,NG (Natural Gas),9.2,3.12,4.590281086
NILAND_NG,286671,NG (Natural Gas),121.0,38.57,2.3496574475
NORTHPALMSPRINGS_NG,286671,NG (Natural Gas),149.7,59.94,2.769230626666667
BRAWLEY_NG,286671,NG (Natural Gas),58.7,17.3,3.1268758526666667
COACHELLA_NG,286671,NG (Natural Gas),92.4,28.25,4.6511861735
MOUNTAINHOME_NG_25,740011,NG (Natural Gas),270.9,79.13,2.6490299823333334
BATTLEMOUNTAIN_C,740011,BIT (Bituminous Coal),242.0,52.07,8.109662577
TACOMA_NG_26,103441,NG (Natural Gas),177.8,35.49,4.799426934
MODESTO_C,230541,BIT (Bituminous Coal),142.4,32.32,7.7473426
LODI_NG_27,230541,NG (Natural Gas),77.4,18.95,4.5814249365
LATHROP_NG,230541,NG (Natural Gas),46.0,6.59,4.670658683
MODESTO_NG_28,230541,NG (Natural Gas),33.6,11.43,4.749769342
PASADENA_NG_29,256181,NG (Natural Gas),164.3,44.2,4.598058574333333
GLENDALE_NG_30,256181,NG (Natural Gas),243.52,62.36,4.642271342714286
OAKLAND_C_31,211651,BIT (Bituminous Coal),74.5,21.27,8.144239226
BENICIA_NG,211651,NG (Natural Gas),98.0,44.6,4.5103229225
ANTIOCH_NG_32,211651,NG (Natural Gas),47.0,19.29,4.67167434
SUISUNCITY_NG,211651,NG (Natural Gas),141.0,44.51,4.712425393666666
MARTINEZ_NG,211651,NG (Natural Gas),213.48,60.17,4.585824996833333
ELSOBRANTE_NG_33,211651,NG (Natural Gas),30.4,12.95,4.636363636
RODEO_NG,211651,NG (Natural Gas),54.900000000000006,15.09,1.5369980976666666
BOULDER_NG,601941,NG (Natural Gas),175.2,59.37,2.6478747202
ARVADA_NG,601941,NG (Natural Gas),231.6,82.55,2.654754623083333
REDDING_NG,200261,NG (Natural Gas),183.09,52.55,3.012696366666667
EUREKA_NG,200261,NG (Natural Gas),166.97999999999996,56.290000000000006,3.8439096144999993
ANACONDA_NG_34,741321,NG (Natural Gas),67.7,26.84,4.714247384
BUTTE_NG,741321,NG (Natural Gas),54.9,14.64,3.5825388861666667
GILROY_NG,230171,NG (Natural Gas),265.0,99.12,3.7419095436
SANJOSE_C,230171,BIT (Bituminous Coal),55.3,9.78,8.110655738
BURBANK_NG_35,254001,NG (Natural Gas),170.2,29.41,4.635925688
ESCONDIDO_NG_36,283651,NG (Natural Gas),160.2,55.080000000000005,4.6564082335000005
CARLSBAD_NG_37,283651,NG (Natural Gas),18.0,5.75,4.611032532
WILMINGTON_NG_38,253751,NG (Natural Gas),68.5,27.75,2.3481781375
CARSON_NG_39,253751,NG (Natural Gas),38.4,10.86,1.14796654175
CHULAVISTA_NG,285491,NG (Natural Gas),44.0,6.81,4.664699571
SANDIEGO_NG_40,285491,NG (Natural Gas),83.1,18.96,4.426900022333334
HENDERSON_NG,302071,NG (Natural Gas),127.2,31.42,4.867328010333334
COLSTRIP_C_41,770011,BIT (Bituminous Coal),46.1,9.01,8.336509915
BLOOMFIELD_NG,600001,NG (Natural Gas),121.6,36.76,3.74618902425
ALAMOSA_NG,530021,NG (Natural Gas),53.2,16.51,4.575744114
GRANTSVILLE_NG,500071,NG (Natural Gas),48.0,17.07,4.844094488
LASVEGAS_NG_42,302051,NG (Natural Gas),96.28,24.71,3.43474207725
LASVEGAS_NG_43,302211,NG (Natural Gas),96.28,16.39,1.09974123725
LOSANGELES_NG_44,255981,NG (Natural Gas),34.5,7.43,4.9244799085
IRVINE_NG,280781,NG (Natural Gas),39.0,10.22,4.547260292
WHITTIER_NG_45,255951,NG (Natural Gas),29.94,13.69,4.511419485499999
LOSANGELES_NG_46,251601,NG (Natural Gas),42.99,16.6,1.5337889143333332
PASCO_NG,106001,NG (Natural Gas),45.6,10.11,0.90944985525
NORWALK_NG_47,256751,NG (Natural Gas),22.05,6.83,4.749769342
